Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-07-17 07:49:27
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1721230865	560226917	26805	0	""	2024-07-17	09:41:05	15107.179	441.17038	1966.8979	40.871	55.0003	29.2572	51.1576	0.00293883	10.8342	54.5005	-49.25	0.28126	16.0949	 85
DATA	1721230866	560226917	26809	0	""	2024-07-17	09:41:06	15113.618	441.96454	1967.0516	40.871	55.0003	29.2564	51.1578	0.00295837	10.835	54.5005	31.75	0.28126	16.0956	235
DATA	1721230867	560226917	26813	32	""	2024-07-17	09:41:07	14868.729	443.52121	1937.748	40.8706	55.0003	29.2568	51.1578	0.049976	10.8364	54.5005	208	0.28126	16.0976	162
DATA	1721230868	560226917	26817	0	""	2024-07-17	09:41:08	15113.127	439.6763	1967.295	40.871	55.0003	29.2593	51.1578	0.00295193	10.837	54.5005	-121.5	0.28126	16.0972	177
DATA	1721230869	559887886	26821	0	""	2024-07-17	09:41:09	15118.363	439.77808	1967.2448	40.871	55.0003	29.2572	51.1576	0.00295846	10.8358	54.5005	-13.25	0.28126	16.0968	118
DATA	1721230870	559887886	26825	0	""	2024-07-17	09:41:10	15123.338	440.41885	1967.0612	40.8714	55.0003	29.2543	51.1578	0.00293666	10.8355	54.5005	59.75	0.28126	16.0964	 96
DATA	1721230871	559887886	26829	0	""	2024-07-17	09:41:11	15130.296	439.23239	1968.771	40.871	55.0003	29.2539	51.1578	0.00293505	10.8345	54.5005	-60.5	0.28126	16.0968	249
DATA	1721230872	559887886	26833	0	""	2024-07-17	09:41:12	15128.425	439.30453	1967.809	40.871	55.0003	29.2523	51.1578	0.00296217	10.837	54.5005	-9	0.28126	16.0968	 46
DATA	1721230873	559887886	26837	0	""	2024-07-17	09:41:13	15127.068	442.04388	1966.9137	40.8706	55.0003	29.2543	51.1578	0.00292775	10.8346	54.5005	48.75	0.28126	16.0964	117
DATA	1721230874	559887886	26841	0	""	2024-07-17	09:41:14	15139.792	439.11429	1966.9409	40.871	55.0003	29.2543	51.1578	0.00291485	10.8363	54.5005	109	0.28126	16.0964	214
DATA	1721230875	559887886	26845	0	""	2024-07-17	09:41:15	15137.247	442.2738	1968.7179	40.8706	55.0003	29.256	51.1578	0.00291814	10.8368	54.5005	-70.25	0.28126	16.096	  6
DATA	1721230876	559887886	26849	0	""	2024-07-17	09:41:16	15138.075	439.92258	1967.5337	40.8718	55.0003	29.2535	51.1578	0.00293317	10.8339	54.5005	61	0.28126	16.096	178
DATA	1721230877	559531927	26853	0	""	2024-07-17	09:41:17	15137.814	439.8663	1968.9552	40.8706	55.0003	29.2552	51.1578	0.00293382	10.8364	54.5005	-151.5	0.28126	16.0956	 95
DATA	1721230878	559531927	26857	0	""	2024-07-17	09:41:18	15149.58	441.48679	1967.6053	40.871	55.0003	29.2502	51.1576	0.00293643	10.8353	54.5005	81.25	0.28126	16.0949	255
DATA	1721230879	559531927	26861	0	""	2024-07-17	09:41:19	15149.142	441.6058	1967.3756	40.8714	55.0003	29.2523	51.1578	0.00296084	10.8343	54.5005	-131	0.28126	16.0949	236
DATA	1721230880	559531927	26865	0	""	2024-07-17	09:41:20	15154.101	440.69745	1966.3726	40.8706	55.0003	29.2478	51.1574	0.00292288	10.8349	54.5005	165.5	0.28126	16.0949	 89
DATA	1721230881	559531927	26869	0	""	2024-07-17	09:41:21	15154.345	444.47015	1967.3953	40.871	55.0003	29.2523	51.1578	0.0029212	10.8358	54.5005	-31.75	0.28126	16.0949	 21
DATA	1721230882	559531927	26873	0	""	2024-07-17	09:41:22	15157.703	440.28333	1966.793	40.8706	55.0003	29.2531	51.1576	0.00293712	10.8348	54.5005	159.5	0.28126	16.0949	 31
DATA	1721230883	559531927	26877	0	""	2024-07-17	09:41:23	15160.98	440.85156	1966.083	40.8702	55.0003	29.2568	51.1576	0.00289777	10.834	54.5005	253.5	0.28126	16.0945	201
DATA	1721230884	559191942	26881	0	""	2024-07-17	09:41:24	15163.334	443.4133	1966.7048	40.8714	55.0001	29.2568	51.1578	0.00344847	10.835	54.5005	-77.75	0.28126	16.0964	 33
DATA	1721230885	559191942	26885	0	""	2024-07-17	09:41:25	15162.166	440.87854	1966.6418	40.8714	55.0003	29.2556	51.1576	0.002939	10.8353	54.5005	64.75	0.28126	16.096	207
DATA	1721230886	559191942	26889	0	""	2024-07-17	09:41:26	15172.838	440.84622	1967.9796	40.8714	55.0003	29.258	51.1578	0.0029653	10.8372	54.5005	-23.75	0.28126	16.096	  9
DATA	1721230887	559191942	26893	0	""	2024-07-17	09:41:27	15175.145	445.39282	1966.521	40.8706	55.0001	29.2564	51.1578	0.00292699	10.8356	54.5005	-121.25	0.28126	16.0964	140
DATA	1721230888	559191942	26897	0	""	2024-07-17	09:41:28	15179.966	445.9715	1967.7965	40.871	54.9999	29.2535	51.1578	0.00297647	10.8348	54.5005	-114.5	0.28126	16.0956	110
